Product ID,Date,Cost of Goods Sold,Current Price,Competitor Price,Sales Volume
P001,2025-01-01,48,53.86,55.24,15
P001,2025-01-02,48,52.19,54.17,8
P001,2025-01-03,48,53.7,55.28,15
P001,2025-01-04,48,53.67,54.49,13
P001,2025-01-05,48,52.29,55.38,1
P001,2025-01-06,48,52.04,54.63,1
P001,2025-01-07,48,52.41,53.79,11
P001,2025-01-08,48,52.41,55.2,3
P001,2025-01-09,48,53.55,53.93,7
P001,2025-01-10,48,53.31,55.61,9
P001,2025-01-11,48,53.26,54.44,16
P001,2025-01-12,48,52.75,55.12,5
P001,2025-01-13,48,53.47,55.06,3
P001,2025-01-14,48,52.96,54.02,14
P001,2025-01-15,48,53.71,55.22,14
P001,2025-01-16,48,53.0,54.83,15
P001,2025-01-17,48,52.23,54.66,19
P001,2025-01-18,48,52.07,55.05,20
P001,2025-01-19,48,53.14,55.17,5
P001,2025-01-20,48,52.51,54.6,11
P001,2025-01-21,48,52.42,55.67,7
P001,2025-01-22,48,52.59,54.1,2
P001,2025-01-23,48,53.26,54.37,6
P001,2025-01-24,48,52.92,54.22,20
P001,2025-01-25,48,53.8,54.86,7
P001,2025-01-26,48,53.83,54.32,20
P001,2025-01-27,48,52.72,54.39,6
P001,2025-01-28,48,53.03,54.62,5
P001,2025-01-29,48,53.4,54.32,15
P001,2025-01-30,48,52.35,54.22,9
P002,2025-01-01,38,57.69,57.27,20
P002,2025-01-02,38,57.38,58.53,3
P002,2025-01-03,38,57.48,57.71,17
P002,2025-01-04,38,57.42,59.09,5
P002,2025-01-05,38,57.57,58.41,2
P002,2025-01-06,38,57.95,58.03,6
P002,2025-01-07,38,57.37,58.48,11
P002,2025-01-08,38,57.62,57.62,6
P002,2025-01-09,38,57.62,58.4,6
P002,2025-01-10,38,57.68,58.77,16
P002,2025-01-11,38,58.55,57.78,6
P002,2025-01-12,38,58.27,58.85,4
P002,2025-01-13,38,56.92,58.16,19
P002,2025-01-14,38,57.58,57.33,9
P002,2025-01-15,38,58.27,57.91,18
P002,2025-01-16,38,58.56,58.49,18
P002,2025-01-17,38,58.73,58.89,3
P002,2025-01-18,38,57.34,57.49,16
P002,2025-01-19,38,57.99,58.2,2
P002,2025-01-20,38,58.88,59.07,5
P002,2025-01-21,38,58.68,58.4,9
P002,2025-01-22,38,57.44,58.54,16
P002,2025-01-23,38,58.68,58.91,1
P002,2025-01-24,38,58.17,57.3,8
P002,2025-01-25,38,58.45,58.47,3
P002,2025-01-26,38,57.63,59.02,18
P002,2025-01-27,38,57.2,58.23,3
P002,2025-01-28,38,58.19,57.58,1
P002,2025-01-29,38,56.92,58.12,16
P002,2025-01-30,38,58.38,58.44,7
P003,2025-01-01,24,38.7,37.42,16
P003,2025-01-02,24,37.45,37.54,14
P003,2025-01-03,24,38.44,38.76,19
P003,2025-01-04,24,39.05,38.07,2
P003,2025-01-05,24,37.96,38.09,15
P003,2025-01-06,24,38.25,37.19,16
P003,2025-01-07,24,37.82,36.85,17
P003,2025-01-08,24,37.35,38.79,14
P003,2025-01-09,24,39.09,37.54,9
P003,2025-01-10,24,39.17,37.47,14
P003,2025-01-11,24,39.2,38.73,1
P003,2025-01-12,24,37.41,37.42,1
P003,2025-01-13,24,37.9,37.14,10
P003,2025-01-14,24,39.13,38.2,8
P003,2025-01-15,24,37.4,37.22,15
P003,2025-01-16,24,39.24,37.08,10
P003,2025-01-17,24,39.02,38.29,1
P003,2025-01-18,24,37.54,38.22,7
P003,2025-01-19,24,37.85,38.42,3
P003,2025-01-20,24,37.77,38.03,7
P003,2025-01-21,24,38.27,38.4,1
P003,2025-01-22,24,37.4,37.6,14
P003,2025-01-23,24,39.04,37.48,2
P003,2025-01-24,24,37.45,37.96,19
P003,2025-01-25,24,38.19,37.89,17
P003,2025-01-26,24,37.34,38.45,11
P003,2025-01-27,24,37.52,37.85,12
P003,2025-01-28,24,39.19,37.72,6
P003,2025-01-29,24,37.37,37.87,15
P003,2025-01-30,24,38.66,37.08,16
P004,2025-01-01,17,32.13,29.27,19
P004,2025-01-02,17,31.77,28.78,5
P004,2025-01-03,17,30.54,28.4,9
P004,2025-01-04,17,31.55,28.36,1
P004,2025-01-05,17,31.06,28.72,16
P004,2025-01-06,17,30.54,30.11,1
P004,2025-01-07,17,32.08,29.71,5
P004,2025-01-08,17,31.4,29.08,12
P004,2025-01-09,17,31.31,28.56,14
P004,2025-01-10,17,30.36,28.43,14
P004,2025-01-11,17,32.13,28.59,16
P004,2025-01-12,17,30.37,29.22,7
P004,2025-01-13,17,30.87,29.17,5
P004,2025-01-14,17,30.97,29.47,5
P004,2025-01-15,17,31.95,28.76,10
P004,2025-01-16,17,31.43,29.24,1
P004,2025-01-17,17,31.25,29.61,16
P004,2025-01-18,17,30.32,29.52,17
P004,2025-01-19,17,31.91,29.51,20
P004,2025-01-20,17,31.33,29.02,1
P004,2025-01-21,17,31.09,29.33,5
P004,2025-01-22,17,31.43,29.88,8
P004,2025-01-23,17,31.99,28.63,13
P004,2025-01-24,17,30.6,28.99,19
P004,2025-01-25,17,31.41,28.91,8
P004,2025-01-26,17,30.95,29.6,2
P004,2025-01-27,17,30.7,29.23,18
P004,2025-01-28,17,31.43,29.99,4
P004,2025-01-29,17,31.01,30.17,4
P004,2025-01-30,17,30.53,29.74,3
P005,2025-01-01,30,36.09,33.85,18
P005,2025-01-02,30,34.61,34.19,5
P005,2025-01-03,30,34.58,34.39,3
P005,2025-01-04,30,34.31,34.83,20
P005,2025-01-05,30,35.76,33.67,19
P005,2025-01-06,30,34.88,33.05,9
P005,2025-01-07,30,35.8,33.74,14
P005,2025-01-08,30,35.46,33.99,15
P005,2025-01-09,30,34.27,33.21,12
P005,2025-01-10,30,34.76,34.37,4
P005,2025-01-11,30,36.0,34.59,7
P005,2025-01-12,30,34.29,34.02,7
P005,2025-01-13,30,36.1,33.14,3
P005,2025-01-14,30,35.88,33.73,18
P005,2025-01-15,30,36.04,34.41,12
P005,2025-01-16,30,35.84,34.71,14
P005,2025-01-17,30,35.51,33.18,18
P005,2025-01-18,30,35.89,33.32,5
P005,2025-01-19,30,34.57,34.19,13
P005,2025-01-20,30,34.85,34.66,7
P005,2025-01-21,30,36.08,34.54,6
P005,2025-01-22,30,35.52,33.99,12
P005,2025-01-23,30,35.22,33.88,19
P005,2025-01-24,30,34.33,34.01,13
P005,2025-01-25,30,34.92,34.17,20
P005,2025-01-26,30,34.34,33.26,9
P005,2025-01-27,30,35.59,34.39,17
P005,2025-01-28,30,34.27,34.09,6
P005,2025-01-29,30,35.71,34.99,13
P005,2025-01-30,30,34.19,34.81,11
P006,2025-01-01,48,54.18,51.82,19
P006,2025-01-02,48,54.28,52.36,9
P006,2025-01-03,48,52.78,51.9,1
P006,2025-01-04,48,53.6,52.48,16
P006,2025-01-05,48,53.82,53.14,10
P006,2025-01-06,48,54.25,53.09,12
P006,2025-01-07,48,52.56,51.98,4
P006,2025-01-08,48,53.27,52.02,18
P006,2025-01-09,48,52.88,52.03,4
P006,2025-01-10,48,54.32,52.71,17
P006,2025-01-11,48,52.91,52.13,13
P006,2025-01-12,48,53.72,51.64,14
P006,2025-01-13,48,52.5,53.19,19
P006,2025-01-14,48,53.8,52.54,2
P006,2025-01-15,48,52.51,53.06,13
P006,2025-01-16,48,52.68,52.13,1
P006,2025-01-17,48,53.31,53.28,11
P006,2025-01-18,48,53.53,52.07,17
P006,2025-01-19,48,54.02,52.25,3
P006,2025-01-20,48,52.61,51.34,6
P006,2025-01-21,48,53.73,52.38,5
P006,2025-01-22,48,54.34,52.42,5
P006,2025-01-23,48,53.8,52.82,19
P006,2025-01-24,48,52.84,52.21,14
P006,2025-01-25,48,52.85,51.86,4
P006,2025-01-26,48,52.8,52.65,2
P006,2025-01-27,48,53.06,51.54,2
P006,2025-01-28,48,53.3,52.97,18
P006,2025-01-29,48,54.05,52.41,5
P006,2025-01-30,48,52.52,52.89,17
P007,2025-01-01,28,40.14,40.66,15
P007,2025-01-02,28,41.44,41.88,11
P007,2025-01-03,28,40.3,40.88,2
P007,2025-01-04,28,40.57,41.78,15
P007,2025-01-05,28,40.75,42.41,20
P007,2025-01-06,28,40.97,41.51,15
P007,2025-01-07,28,40.66,41.85,19
P007,2025-01-08,28,41.27,42.2,10
P007,2025-01-09,28,41.72,41.59,20
P007,2025-01-10,28,40.79,42.56,2
P007,2025-01-11,28,40.53,41.87,16
P007,2025-01-12,28,40.55,41.68,16
P007,2025-01-13,28,40.18,40.88,8
P007,2025-01-14,28,40.23,42.0,3
P007,2025-01-15,28,41.62,41.64,18
P007,2025-01-16,28,41.08,41.05,5
P007,2025-01-17,28,40.56,41.3,6
P007,2025-01-18,28,40.11,41.53,14
P007,2025-01-19,28,40.6,41.61,13
P007,2025-01-20,28,40.51,40.79,15
P007,2025-01-21,28,41.13,40.77,11
P007,2025-01-22,28,41.71,40.73,4
P007,2025-01-23,28,41.48,42.1,20
P007,2025-01-24,28,40.29,41.35,14
P007,2025-01-25,28,41.11,41.34,2
P007,2025-01-26,28,41.37,40.68,19
P007,2025-01-27,28,41.3,42.4,14
P007,2025-01-28,28,41.37,40.67,18
P007,2025-01-29,28,40.77,41.67,15
P007,2025-01-30,28,40.08,42.08,10
P008,2025-01-01,32,43.13,44.12,12
P008,2025-01-02,32,42.46,43.12,4
P008,2025-01-03,32,42.71,43.74,18
P008,2025-01-04,32,42.17,43.51,2
P008,2025-01-05,32,43.11,43.61,12
P008,2025-01-06,32,42.25,43.01,6
P008,2025-01-07,32,43.8,43.65,13
P008,2025-01-08,32,42.66,44.31,6
P008,2025-01-09,32,42.73,43.41,11
P008,2025-01-10,32,42.17,44.05,9
P008,2025-01-11,32,42.16,43.49,8
P008,2025-01-12,32,43.39,44.43,6
P008,2025-01-13,32,42.79,44.38,4
P008,2025-01-14,32,42.01,44.39,6
P008,2025-01-15,32,43.34,44.3,15
P008,2025-01-16,32,43.07,43.39,13
P008,2025-01-17,32,43.54,42.81,4
P008,2025-01-18,32,42.85,43.45,17
P008,2025-01-19,32,43.06,43.85,14
P008,2025-01-20,32,42.58,43.6,11
P008,2025-01-21,32,43.86,43.08,3
P008,2025-01-22,32,42.1,43.11,10
P008,2025-01-23,32,43.1,43.54,2
P008,2025-01-24,32,42.64,44.06,1
P008,2025-01-25,32,42.28,42.44,9
P008,2025-01-26,32,43.19,43.38,3
P008,2025-01-27,32,42.7,44.3,12
P008,2025-01-28,32,42.81,44.3,11
P008,2025-01-29,32,43.87,42.8,3
P008,2025-01-30,32,43.85,43.88,8
P009,2025-01-01,20,26.36,27.53,3
P009,2025-01-02,20,25.03,27.66,14
P009,2025-01-03,20,25.75,26.75,13
P009,2025-01-04,20,25.88,27.4,8
P009,2025-01-05,20,25.58,26.79,19
P009,2025-01-06,20,25.95,27.11,15
P009,2025-01-07,20,25.85,26.74,15
P009,2025-01-08,20,25.47,27.12,8
P009,2025-01-09,20,25.16,27.12,6
P009,2025-01-10,20,26.58,27.29,8
P009,2025-01-11,20,26.09,26.37,15
P009,2025-01-12,20,25.94,27.1,7
P009,2025-01-13,20,25.85,28.03,1
P009,2025-01-14,20,26.11,27.59,1
P009,2025-01-15,20,24.77,27.17,10
P009,2025-01-16,20,25.69,27.54,6
P009,2025-01-17,20,25.77,26.79,13
P009,2025-01-18,20,24.95,26.83,8
P009,2025-01-19,20,25.0,26.49,12
P009,2025-01-20,20,26.24,26.06,19
P009,2025-01-21,20,26.09,27.12,11
P009,2025-01-22,20,25.9,27.69,10
P009,2025-01-23,20,25.39,26.49,15
P009,2025-01-24,20,25.28,27.26,13
P009,2025-01-25,20,24.98,26.23,1
P009,2025-01-26,20,24.74,27.78,12
P009,2025-01-27,20,24.9,27.87,5
P009,2025-01-28,20,26.54,27.45,10
P009,2025-01-29,20,26.24,26.78,9
P009,2025-01-30,20,25.55,27.51,8
P010,2025-01-01,20,40.29,39.12,1
P010,2025-01-02,20,38.83,39.27,14
P010,2025-01-03,20,38.98,38.97,1
P010,2025-01-04,20,40.35,38.34,8
P010,2025-01-05,20,39.82,38.06,9
P010,2025-01-06,20,39.02,38.88,9
P010,2025-01-07,20,38.83,38.13,11
P010,2025-01-08,20,40.45,38.23,2
P010,2025-01-09,20,40.44,38.47,12
P010,2025-01-10,20,40.43,37.8,7
P010,2025-01-11,20,38.94,37.37,1
P010,2025-01-12,20,39.33,38.46,18
P010,2025-01-13,20,39.93,37.66,20
P010,2025-01-14,20,39.52,38.41,8
P010,2025-01-15,20,39.61,38.49,13
P010,2025-01-16,20,39.4,38.15,19
P010,2025-01-17,20,39.31,38.24,17
P010,2025-01-18,20,38.68,38.24,8
P010,2025-01-19,20,39.78,37.89,19
P010,2025-01-20,20,39.51,38.35,17
P010,2025-01-21,20,39.41,38.42,4
P010,2025-01-22,20,38.97,39.02,7
P010,2025-01-23,20,40.11,37.84,19
P010,2025-01-24,20,39.89,38.12,18
P010,2025-01-25,20,40.34,38.12,3
P010,2025-01-26,20,39.07,38.64,8
P010,2025-01-27,20,38.81,38.9,3
P010,2025-01-28,20,40.38,38.41,8
P010,2025-01-29,20,38.81,37.79,14
P010,2025-01-30,20,39.81,38.91,16
P011,2025-01-01,33,41.29,41.39,14
P011,2025-01-02,33,41.08,41.85,7
P011,2025-01-03,33,41.76,41.53,19
P011,2025-01-04,33,40.74,41.81,18
P011,2025-01-05,33,42.28,41.69,20
P011,2025-01-06,33,41.16,41.71,3
P011,2025-01-07,33,41.67,40.59,5
P011,2025-01-08,33,41.18,41.6,9
P011,2025-01-09,33,41.36,40.64,20
P011,2025-01-10,33,42.44,41.62,17
P011,2025-01-11,33,42.23,41.03,14
P011,2025-01-12,33,41.43,40.42,18
P011,2025-01-13,33,40.54,40.59,8
P011,2025-01-14,33,41.89,40.86,9
P011,2025-01-15,33,40.77,41.73,4
P011,2025-01-16,33,40.76,41.86,2
P011,2025-01-17,33,41.04,40.09,18
P011,2025-01-18,33,41.55,41.69,9
P011,2025-01-19,33,41.04,41.16,6
P011,2025-01-20,33,42.15,40.47,10
P011,2025-01-21,33,40.77,40.58,6
P011,2025-01-22,33,41.96,40.56,13
P011,2025-01-23,33,41.82,40.41,13
P011,2025-01-24,33,42.17,40.86,14
P011,2025-01-25,33,40.59,40.39,11
P011,2025-01-26,33,40.86,40.24,19
P011,2025-01-27,33,40.98,40.83,8
P011,2025-01-28,33,41.37,41.89,7
P011,2025-01-29,33,41.71,41.95,15
P011,2025-01-30,33,42.4,40.33,1
P012,2025-01-01,45,50.9,50.17,19
P012,2025-01-02,45,51.55,49.19,13
P012,2025-01-03,45,50.67,50.33,2
P012,2025-01-04,45,50.57,49.24,17
P012,2025-01-05,45,51.18,50.5,8
P012,2025-01-06,45,51.23,49.58,3
P012,2025-01-07,45,50.51,49.09,19
P012,2025-01-08,45,50.9,50.27,19
P012,2025-01-09,45,50.99,50.7,17
P012,2025-01-10,45,50.63,50.99,17
P012,2025-01-11,45,50.73,50.17,19
P012,2025-01-12,45,51.82,50.7,5
P012,2025-01-13,45,51.74,50.79,18
P012,2025-01-14,45,51.34,49.53,9
P012,2025-01-15,45,52.25,49.17,10
P012,2025-01-16,45,51.54,51.09,7
P012,2025-01-17,45,50.43,50.48,9
P012,2025-01-18,45,50.74,49.32,18
P012,2025-01-19,45,51.85,49.2,3
P012,2025-01-20,45,51.0,50.75,17
P012,2025-01-21,45,51.66,49.82,12
P012,2025-01-22,45,50.6,49.24,5
P012,2025-01-23,45,51.42,49.97,12
P012,2025-01-24,45,51.5,50.7,4
P012,2025-01-25,45,51.94,49.73,18
P012,2025-01-26,45,51.4,49.94,12
P012,2025-01-27,45,50.83,49.14,10
P012,2025-01-28,45,52.34,49.09,13
P012,2025-01-29,45,51.42,50.97,3
P012,2025-01-30,45,50.5,49.11,17
P013,2025-01-01,49,63.08,64.26,16
P013,2025-01-02,49,64.02,65.27,10
P013,2025-01-03,49,62.46,63.97,20
P013,2025-01-04,49,63.75,63.77,3
P013,2025-01-05,49,63.21,63.89,18
P013,2025-01-06,49,62.87,63.76,16
P013,2025-01-07,49,62.31,65.27,9
P013,2025-01-08,49,62.49,64.08,4
P013,2025-01-09,49,62.71,65.2,5
P013,2025-01-10,49,62.45,64.13,14
P013,2025-01-11,49,63.48,65.1,2
P013,2025-01-12,49,62.61,65.28,8
P013,2025-01-13,49,64.16,64.6,19
P013,2025-01-14,49,63.3,63.76,2
P013,2025-01-15,49,63.04,63.37,3
P013,2025-01-16,49,63.93,64.9,15
P013,2025-01-17,49,62.71,64.33,20
P013,2025-01-18,49,64.27,63.65,10
P013,2025-01-19,49,63.31,64.28,17
P013,2025-01-20,49,62.58,64.93,6
P013,2025-01-21,49,63.52,64.79,9
P013,2025-01-22,49,64.07,65.02,11
P013,2025-01-23,49,64.03,63.83,9
P013,2025-01-24,49,62.36,65.0,10
P013,2025-01-25,49,63.89,64.61,5
P013,2025-01-26,49,63.75,63.86,15
P013,2025-01-27,49,62.29,64.69,16
P013,2025-01-28,49,63.27,63.46,16
P013,2025-01-29,49,63.64,63.45,17
P013,2025-01-30,49,62.4,65.06,19
P014,2025-01-01,33,44.39,43.13,2
P014,2025-01-02,33,43.82,44.17,1
P014,2025-01-03,33,44.49,44.03,8
P014,2025-01-04,33,43.23,42.75,16
P014,2025-01-05,33,44.15,44.11,10
P014,2025-01-06,33,42.95,43.84,7
P014,2025-01-07,33,44.5,44.36,19
P014,2025-01-08,33,44.5,42.45,11
P014,2025-01-09,33,43.19,44.25,18
P014,2025-01-10,33,44.37,44.1,12
P014,2025-01-11,33,42.75,43.01,14
P014,2025-01-12,33,43.39,43.56,8
P014,2025-01-13,33,43.26,43.71,13
P014,2025-01-14,33,44.3,42.65,7
P014,2025-01-15,33,43.82,44.36,15
P014,2025-01-16,33,44.6,42.64,4
P014,2025-01-17,33,43.08,43.98,4
P014,2025-01-18,33,43.34,43.85,17
P014,2025-01-19,33,43.9,43.13,18
P014,2025-01-20,33,44.48,44.38,12
P014,2025-01-21,33,44.24,42.7,12
P014,2025-01-22,33,42.79,42.48,6
P014,2025-01-23,33,43.48,44.08,11
P014,2025-01-24,33,44.1,43.33,14
P014,2025-01-25,33,43.67,44.33,3
P014,2025-01-26,33,43.64,42.76,11
P014,2025-01-27,33,43.18,42.6,14
P014,2025-01-28,33,43.2,42.7,3
P014,2025-01-29,33,44.64,42.74,15
P014,2025-01-30,33,43.58,43.71,6
P015,2025-01-01,12,32.27,30.46,1
P015,2025-01-02,12,31.39,31.03,2
P015,2025-01-03,12,31.17,29.64,12
P015,2025-01-04,12,31.87,30.52,8
P015,2025-01-05,12,31.07,29.99,8
P015,2025-01-06,12,32.29,31.27,20
P015,2025-01-07,12,30.78,31.17,12
P015,2025-01-08,12,30.81,31.42,3
P015,2025-01-09,12,31.12,30.5,14
P015,2025-01-10,12,31.95,30.79,20
P015,2025-01-11,12,31.61,29.98,2
P015,2025-01-12,12,32.34,30.2,13
P015,2025-01-13,12,31.05,30.51,18
P015,2025-01-14,12,31.71,30.78,11
P015,2025-01-15,12,32.14,31.3,6
P015,2025-01-16,12,32.56,31.03,19
P015,2025-01-17,12,30.96,30.06,14
P015,2025-01-18,12,31.03,30.58,20
P015,2025-01-19,12,31.44,31.13,18
P015,2025-01-20,12,31.4,30.62,1
P015,2025-01-21,12,32.51,29.75,13
P015,2025-01-22,12,30.91,30.37,2
P015,2025-01-23,12,32.7,29.98,18
P015,2025-01-24,12,32.39,29.66,12
P015,2025-01-25,12,30.96,30.85,3
P015,2025-01-26,12,32.54,30.77,9
P015,2025-01-27,12,30.85,30.66,18
P015,2025-01-28,12,32.62,31.47,20
P015,2025-01-29,12,31.43,31.21,7
P015,2025-01-30,12,32.07,30.69,6
P016,2025-01-01,31,43.64,43.18,3
P016,2025-01-02,31,42.08,42.6,14
P016,2025-01-03,31,42.16,42.39,12
P016,2025-01-04,31,42.32,44.02,19
P016,2025-01-05,31,43.95,42.95,8
P016,2025-01-06,31,43.75,43.14,19
P016,2025-01-07,31,42.32,42.31,19
P016,2025-01-08,31,42.46,44.26,9
P016,2025-01-09,31,42.99,42.44,19
P016,2025-01-10,31,43.36,42.42,15
P016,2025-01-11,31,42.52,43.2,20
P016,2025-01-12,31,43.26,43.74,20
P016,2025-01-13,31,43.01,43.36,19
P016,2025-01-14,31,43.16,43.15,2
P016,2025-01-15,31,42.97,44.02,2
P016,2025-01-16,31,43.59,43.58,19
P016,2025-01-17,31,43.19,44.1,12
P016,2025-01-18,31,42.77,43.2,15
P016,2025-01-19,31,42.47,43.82,4
P016,2025-01-20,31,43.82,42.63,12
P016,2025-01-21,31,42.75,43.3,5
P016,2025-01-22,31,43.71,43.26,15
P016,2025-01-23,31,43.19,43.43,20
P016,2025-01-24,31,43.19,42.6,2
P016,2025-01-25,31,43.72,42.29,1
P016,2025-01-26,31,43.55,42.53,13
P016,2025-01-27,31,42.48,42.74,10
P016,2025-01-28,31,42.15,42.61,10
P016,2025-01-29,31,42.9,43.61,9
P016,2025-01-30,31,42.86,42.77,11
P017,2025-01-01,11,29.8,26.53,20
P017,2025-01-02,11,28.66,27.24,15
P017,2025-01-03,11,29.23,26.97,17
P017,2025-01-04,11,29.31,26.92,15
P017,2025-01-05,11,29.64,26.44,20
P017,2025-01-06,11,28.44,26.14,5
P017,2025-01-07,11,29.77,26.1,3
P017,2025-01-08,11,28.8,27.89,5
P017,2025-01-09,11,28.11,27.19,12
P017,2025-01-10,11,28.2,28.0,11
P017,2025-01-11,11,27.93,26.67,7
P017,2025-01-12,11,28.81,27.06,18
P017,2025-01-13,11,28.58,27.09,13
P017,2025-01-14,11,28.19,27.9,8
P017,2025-01-15,11,29.84,26.21,8
P017,2025-01-16,11,28.21,26.49,15
P017,2025-01-17,11,28.25,27.41,11
P017,2025-01-18,11,29.27,27.02,17
P017,2025-01-19,11,29.56,27.75,17
P017,2025-01-20,11,27.96,27.89,14
P017,2025-01-21,11,29.74,27.23,16
P017,2025-01-22,11,29.55,27.36,9
P017,2025-01-23,11,28.11,27.34,18
P017,2025-01-24,11,29.11,26.66,1
P017,2025-01-25,11,28.71,27.77,9
P017,2025-01-26,11,28.08,26.6,11
P017,2025-01-27,11,29.66,26.83,14
P017,2025-01-28,11,29.75,26.9,2
P017,2025-01-29,11,29.42,27.62,19
P017,2025-01-30,11,29.64,26.78,7
P018,2025-01-01,33,47.22,49.22,12
P018,2025-01-02,33,48.42,49.7,19
P018,2025-01-03,33,47.98,49.47,17
P018,2025-01-04,33,48.3,49.46,6
P018,2025-01-05,33,47.35,49.78,14
P018,2025-01-06,33,48.49,50.09,9
P018,2025-01-07,33,47.96,50.3,16
P018,2025-01-08,33,48.9,50.4,12
P018,2025-01-09,33,47.5,49.63,15
P018,2025-01-10,33,48.27,49.79,16
P018,2025-01-11,33,48.3,50.07,12
P018,2025-01-12,33,49.12,48.61,11
P018,2025-01-13,33,47.22,49.87,15
P018,2025-01-14,33,47.69,50.43,15
P018,2025-01-15,33,47.6,49.53,19
P018,2025-01-16,33,47.41,49.55,16
P018,2025-01-17,33,48.25,49.91,15
P018,2025-01-18,33,48.27,49.74,10
P018,2025-01-19,33,48.43,50.01,17
P018,2025-01-20,33,49.16,50.22,11
P018,2025-01-21,33,47.45,50.29,7
P018,2025-01-22,33,48.25,49.99,17
P018,2025-01-23,33,48.34,49.09,4
P018,2025-01-24,33,48.05,48.75,1
P018,2025-01-25,33,47.95,49.63,15
P018,2025-01-26,33,49.11,49.78,9
P018,2025-01-27,33,48.79,49.87,10
P018,2025-01-28,33,49.0,49.28,5
P018,2025-01-29,33,47.81,50.04,4
P018,2025-01-30,33,48.05,49.91,18
P019,2025-01-01,39,51.29,49.86,18
P019,2025-01-02,39,50.06,50.03,12
P019,2025-01-03,39,51.48,49.99,17
P019,2025-01-04,39,50.11,50.18,3
P019,2025-01-05,39,50.97,50.65,10
P019,2025-01-06,39,50.27,50.82,2
P019,2025-01-07,39,50.31,50.75,18
P019,2025-01-08,39,50.57,50.41,7
P019,2025-01-09,39,51.21,49.59,14
P019,2025-01-10,39,49.97,51.01,10
P019,2025-01-11,39,51.57,51.1,4
P019,2025-01-12,39,49.93,51.34,3
P019,2025-01-13,39,50.56,50.29,6
P019,2025-01-14,39,50.47,49.7,17
P019,2025-01-15,39,51.42,50.9,12
P019,2025-01-16,39,50.22,50.64,6
P019,2025-01-17,39,50.94,50.92,12
P019,2025-01-18,39,50.41,50.22,6
P019,2025-01-19,39,49.86,50.31,6
P019,2025-01-20,39,50.87,51.02,20
P019,2025-01-21,39,49.88,50.68,4
P019,2025-01-22,39,51.68,50.83,15
P019,2025-01-23,39,50.16,50.63,16
P019,2025-01-24,39,49.76,50.16,8
P019,2025-01-25,39,51.35,51.41,13
P019,2025-01-26,39,50.0,51.5,5
P019,2025-01-27,39,51.23,51.09,1
P019,2025-01-28,39,51.44,50.6,6
P019,2025-01-29,39,50.27,51.13,1
P019,2025-01-30,39,50.97,50.57,20
P020,2025-01-01,47,52.62,50.85,1
P020,2025-01-02,47,51.65,51.46,9
P020,2025-01-03,47,51.37,52.65,9
P020,2025-01-04,47,52.22,52.43,4
P020,2025-01-05,47,52.95,51.1,11
P020,2025-01-06,47,52.35,51.91,20
P020,2025-01-07,47,51.62,52.64,10
P020,2025-01-08,47,52.28,52.04,10
P020,2025-01-09,47,52.94,52.39,16
P020,2025-01-10,47,51.62,52.42,15
P020,2025-01-11,47,52.0,51.13,2
P020,2025-01-12,47,51.65,52.69,18
P020,2025-01-13,47,52.48,52.42,1
P020,2025-01-14,47,53.04,51.75,14
P020,2025-01-15,47,53.0,52.44,20
P020,2025-01-16,47,52.2,51.58,13
P020,2025-01-17,47,51.93,50.92,2
P020,2025-01-18,47,52.21,51.24,13
P020,2025-01-19,47,52.3,52.71,13
P020,2025-01-20,47,53.07,52.53,6
P020,2025-01-21,47,51.2,50.81,2
P020,2025-01-22,47,52.5,51.08,19
P020,2025-01-23,47,52.33,51.16,2
P020,2025-01-24,47,52.17,52.29,15
P020,2025-01-25,47,53.17,51.26,3
P020,2025-01-26,47,51.35,52.34,14
P020,2025-01-27,47,51.4,52.16,1
P020,2025-01-28,47,52.22,52.77,17
P020,2025-01-29,47,51.66,51.22,20
P020,2025-01-30,47,52.51,52.48,18
